User,Item 1,Rating 1,Item 2,Rating 2,Item 3,Rating 3,Item 4,Rating 4,Item 5,Rating 5,Item 6,Rating 6,Item 7,Rating 7,Item 8,Rating 8,Item 9,Rating 9,Item 10,Rating 10
7,34018,6.95334540068811,38277,6.51186170717233,31650,6.39271193858279,3290,6.33466014725786,14558,6.26380783077242,12029,6.19795599242324,37197,6.13736559756698,3291,6.03736636586364,58125,5.90791234986962,14556,5.89527906913217
442,3290,6.95000592315312,73528,6.18585081411549,67317,5.17650484854373,38176,5.10072461854582,53642,5.07464359506604,42527,4.92418432723787,70764,4.60252211548487,42529,4.49312809267833,82380,3.61154501559586,84908,3.44145303213466
464,3290,6.96736754295371,3996,5.54150349776006,59675,5.39320997119309,42527,4.8584237860193,42529,4.41249502959194,60183,3.76356918807135,"",0,"",0,"",0,"",0
441,42527,4.98877954557526,42529,4.50288406841458,60183,3.93327291725059,"",0,"",0,"",0,"",0,"",0,"",0,"",0
49,33497,6.94587892117868,4798,6.81793741477841,58124,6.7763467039318,3969,6.77381610621609,31648,6.7210283573301,34018,6.01046083902772,11808,5.9635646481741,73525,5.93105593508523,43117,5.78029502245957,38277,5.66336257532283
289,33497,8.07912629256496,34018,7.38978278307663,73525,7.24478235085943,31650,7.0405711468799,3278,7.01716647824294,14556,6.78150223786523,37197,6.77350939831126,70767,6.67595694480068,37088,6.63281689999897,20076,6.58042648082955
279,58124,7.01418325201605,34018,6.23440170333723,38277,5.85870092889289,31650,5.75422137419451,14558,5.69842864666626,75847,5.64408842677685,53618,5.59506254033018,3290,5.56589240199481,12029,5.503183538881,37197,5.4953789592169
390,14556,6.68815050147231,3996,5.74899128266559,38176,5.46824378556162,84923,5.31618546394998,42529,4.68376057743856,53643,3.81126398242215,"",0,"",0,"",0,"",0
659,11808,6.90701938970489,73525,6.78766352148361,3290,6.50390549054216,75847,6.47099978540871,14558,6.43037509822509,37197,6.40523322524194,12029,6.40166258262964,71904,6.31428130425994,33290,6.15364514165797,14556,6.15168107053891
82,4384,6.85895001069724,37132,5.85907200284258,42527,5.79725899966004,42529,5.35221726564183,82380,4.52036914228684,84908,4.51156075962216,60183,4.39261658474444,"",0,"",0,"",0
536,33497,7.59555811018382,43365,6.94378138416911,34018,6.52217657404106,14558,5.83112079951829,3290,5.82575259557828,31650,5.8123847301511,33290,5.8110474453621,3291,5.67712394076715,31659,5.4921971920155,67315,5.4211873365677
550,42527,5.72762658152353,42529,5.34565299820654,60183,4.49317457019924,53643,4.16248695814752,"",0,"",0,"",0,"",0,"",0,"",0
710,37197,6.39663494932288,33290,6.34102262280202,53618,6.06098648431651,31659,5.94515421946441,14556,5.83129261508375,73528,5.7770261540767,38276,5.74568833093475,31407,5.5780558028876,1977,5.53598510901643,70766,5.29531861767207
402,33497,7.60908543984862,31650,6.4814077536049,3290,6.46700016632107,67315,6.20566871985827,20076,5.98264113205371,37088,5.96265252111974,73528,5.89721270726703,4384,5.89286659693203,79206,5.48897685893589,33306,5.39736525826028
217,4798,6.99808597571797,43364,6.98179242641968,31648,6.84887726055042,11808,6.22925042256934,34018,6.22901045821531,37197,5.77986399350984,38277,5.77251260496094,31650,5.76921630226842,12029,5.73357355578362,75847,5.73265834737543
681,73528,6.93742191932804,42951,6.90870814158003,33306,6.08752694153841,67317,5.72889954282448,38176,5.71168827312493,70764,5.22248341082934,42527,5.20759169341646,42529,4.72388762332299,82380,4.19170305701398,60183,4.09593930750868
149,33497,6.97059420149512,14547,6.94931827642867,4798,6.91454221713912,58124,6.86078640904968,3969,6.71298790724099,31648,6.67870685671853,20073,6.42590002064368,34018,6.03397446391102,73525,5.95965600053185,38277,5.79783575207514
